layer,matrix_type,cond_a,seed_a,cond_b,seed_b,n_experts_common,n_excluded_a,n_excluded_b,mean_angle_deg_k16,mean_angle_deg_k32,mean_angle_deg_k64,max_angle_deg_k16,max_angle_deg_k32,max_angle_deg_k64,proj_dist_k16,proj_dist_k32,proj_dist_k64,whitening_reldist_k16,whitening_reldist_k32,whitening_reldist_k64,cov_reldist_k16,cov_reldist_k32,cov_reldist_k64
3,up_proj,korean_only,1,mixed_5lang,0,64,0,0,51.0388298034668,48.69491958618164,48.45599365234375,89.25054931640625,89.35269165039062,89.62430572509766,3.003962755203247,4.147577285766602,5.8769211769104,1.1769592761993408,1.1570796966552734,1.172773838043213,1.0540803670883179,1.0442979335784912,1.0383086204528809
3,up_proj,korean_only,1,mixed_5lang,1,64,0,0,46.274566650390625,44.24371337890625,44.47465515136719,89.06624603271484,89.35050201416016,89.53025817871094,2.8255088329315186,3.905764579772949,5.574947357177734,1.1177654266357422,1.1022162437438965,1.1286232471466064,0.9728101491928101,0.9632008671760559,0.9572447538375854
3,up_proj,korean_only,1,mixed_5lang,2,64,0,0,46.39533233642578,44.41529846191406,45.01207733154297,89.15143585205078,89.37909698486328,89.62201690673828,2.832315683364868,3.9155097007751465,5.615584850311279,1.1210763454437256,1.1039187908172607,1.13450026512146,0.9697113633155823,0.9600854516029358,0.9544097185134888
3,up_proj,korean_only,2,swahili_only,0,64,0,0,80.61449432373047,79.1284408569336,76.67372131347656,89.64031982421875,89.77093505859375,89.84550476074219,3.9010515213012695,5.491977691650391,7.680171966552734,1.4552541971206665,1.4493986368179321,1.4407072067260742,1.5336768627166748,1.5325753688812256,1.5313613414764404
3,up_proj,korean_only,2,swahili_only,1,64,0,0,80.59306335449219,79.06916046142578,76.6004867553711,89.62098693847656,89.77176666259766,89.85067749023438,3.90020751953125,5.490583896636963,7.677298545837402,1.455837607383728,1.4489344358444214,1.4403800964355469,1.535968542098999,1.5348013639450073,1.5335242748260498
3,up_proj,korean_only,2,swahili_only,2,64,0,0,80.62886047363281,79.16777038574219,76.7197265625,89.57609558105469,89.79973602294922,89.86032104492188,3.901592969894409,5.4940080642700195,7.683467864990234,1.45290207862854,1.4464272260665894,1.438469409942627,1.5331131219863892,1.5318796634674072,1.5305514335632324
3,up_proj,korean_only,2,bengali_only,0,64,0,0,76.23681640625,74.39839172363281,71.21646118164062,89.55357360839844,89.70914459228516,89.81845092773438,3.799617052078247,5.322865009307861,7.380800247192383,1.4181660413742065,1.4165116548538208,1.4228850603103638,1.4052904844284058,1.4026106595993042,1.4003753662109375
3,up_proj,korean_only,2,bengali_only,1,64,0,0,76.13101959228516,74.37775421142578,71.18405151367188,89.60039520263672,89.73574829101562,89.82987213134766,3.7960257530212402,5.321237564086914,7.378057479858398,1.4156988859176636,1.4149130582809448,1.4218864440917969,1.404222846031189,1.4015895128250122,1.3993663787841797
3,up_proj,korean_only,2,bengali_only,2,64,0,0,76.11652374267578,74.33021545410156,71.13580322265625,89.53781127929688,89.69581604003906,89.81492614746094,3.7955338954925537,5.318793296813965,7.375006675720215,1.4168092012405396,1.416668176651001,1.4213734865188599,1.406497836112976,1.4038013219833374,1.4015698432922363
3,up_proj,korean_only,2,mixed_5lang,0,64,0,0,51.1709098815918,48.93491744995117,48.768524169921875,89.16935729980469,89.48780059814453,89.61739349365234,3.0072224140167236,4.1576666831970215,5.898788928985596,1.1772525310516357,1.1587580442428589,1.175614356994629,1.0569159984588623,1.0473999977111816,1.0415356159210205
